username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
SG7416,2017-03-30,,,"$AMZN need that 1000k tgt, long",,,,78804559,
allens613,2017-03-30,,,"my biggest concern is low volume and record insider sales $amd $crbp $spy $lulu $omer $lnn $vxx $amzn http://www.investopedia.com/news/four-financial-alarm-bells-ring-loud-amid-trump-rally/?utm_source=personalized&amp;utm_campaign=www.investopedia.com&amp;utm_term=9271301&amp;utm_medium=email",,,,78804537,
lucyyeslucy,2017-03-30,,,"$AMZN this is NOT a good entry point guys Its too high I prefer to step aside and wait a better entry point",,,,78804429,
lucyyeslucy,2017-03-30,,,"@FoundNemo you wont get it , they need to fade the boosted premium of yesterday calls first (always the same story) $AMZN",,,,78804110,
jdmarkman,2017-03-30,,,"Equinix may not have the notoriety of Amazon but the performance has been spectacular $EQIX $AMZN",,,,78804047,
debjm,2017-03-30,,,"GDP beat, but also consumer spending lifted. Expect continued tech run $qqq $spy $aapl $amzn $goog $fb",,,,78804032,
williamjumaxa,2017-03-30,,,"$AMZN $880+ today???",,,,78803850,
linlee888,2017-03-30,,,"$AMZN Grabbed some for day trade. So far that dip was a gift.",,,,78803762,
williamjumaxa,2017-03-30,,,"$AMZN We get above +$5.00 I can breathe.",,,,78803691,
lucyyeslucy,2017-03-30,,,"$AMZN so the euphoric continue to buy they think we will gat another +2% day. Dont fall in this trap I am full cash waiting a better entry",,,,78803677,
MasterOfTrades,2017-03-30,,,"$AMZN To get to $1000 first",,,,78803625,
TomRusso,2017-03-30,,,"$AMZN $FB $GOOG All made low same day: 11/14, tomoro, 137 days from there&lt; Ganns Square of 52 at 19.5 weeks, or 3/8ths, 135*, big spot",,,,78803505,
TheStreet,2017-03-30,,,"Amazon to Make Aggressive Pitch for Consumer Brands to Bypass Traditional Retailers $AMZN http://dlvr.it/Nm47nS",,,,78794161,
REINCARNATEDmas,2017-03-30,,,"$AMZN if this hits 887 today, and it looks like it, I&#39;m selling my calls, rebuy 870 in few days",,,,78793805,
finzine,2017-03-30,,,"$AMZN India privately took Amazon to task over insulting flag doormat http://sg.finance.yahoo.com/news/india-privately-took-amazon-task-122550284.html via https://finzine.com",,,,78793641,
joshuarodriguez,2017-03-30,,,"$GAIA could be as disruptive as $NFLX or $AMZN according to Kenny Soulstring... http://cnafinance.com/gaia-inc-gaia-stock-is-keeping-it-peacefully-real/14509",,,,78792971,
Moneyball1,2017-03-30,,,"$AMZN looking for a quick run up this morning to close out the puts I sold yesterday and then stock can reverse so I can sell again ;-)",,,,78792458,
bryantvsu,2017-03-30,,,"Yes I do.  G-Glass is best for cars and construction too. Don&#39;t know if $AAPL will hit 2000 soon.  $AMZN could buy it LoL. Your thoughts",,,,78792383,
jmsd,2017-03-30,,,"T3 Live Morning Call Express - Is The Trump Rally Over?

http://scalpthatstock.com/morning-call-express-is-the-trump-rally-over/

$SPX $IWM $FAS $AMZN $BABA $TSLA $AAPL",,,,78792042,
StockNews,2017-03-30,,,"$AMZN Amazon to host a unique three-day event for packaged foods makers in May, Bloomberg reports https://stocknews.com/news/amzn-amazon-com-inc-is-trying-to-convince-food-giants-to-sell/",,,,78791066,
32Trades,2017-03-30,,,"$AMZN CEO Jeff Bezos is now the second richest man in the world - Business Insider 
http://www.32trades.com/amzn/",,,,78790500,
tickerws,2017-03-30,,,"$AMZN has invited $MDLZ, $GIS and others to its headquarters to persuade them it&#39;s time to sell directly to online shoppers.",,,,78789857,
tickerws,2017-03-30,,,"$AMZN to pitch direct selling to packaged food giants: Bloomberg https://bloom.bg/2nOWk7E",,,,78789793,
fatsak,2017-03-30,,,"$AMZN $AAPL Amazon cheaper services for storing photos, music, etc.  They will start cannibalizing tech like the did Retail. $NFLX $AAPL",,,,78789744,
Benzinga,2017-03-30,,,"Amazon Connect Could Mean Big Trouble For Twilio https://benzinga.com/z/9231397 $AMZN $TWLO $CRM $FIT",,,,78789135,
