date,usratio,tbratio,close
2017-04-20,1.1612903225806452,4.5,841.650024
2017-04-21,0.36363636363636365,1.6666666666666667,843.190002
2017-04-22,0.7037037037037037,5.666666666666667
2017-04-23,0.5,1.6666666666666667
2017-04-24,0.6923076923076923,4.0
2017-04-25,0.3333333333333333,1.0
2017-04-06,0.6170212765957447,4.333333333333333,827.880005
2017-04-07,0.35714285714285715,5.0,824.669983
2017-04-04,0.625,2.1538461538461537,834.570007
2017-04-05,0.5625,2.7857142857142856,831.409973
2017-04-02,1.0,0.5714285714285714
2017-04-03,0.7872340425531915,2.8181818181818183,838.549988
2017-04-01,0.4444444444444444,3.0
2017-04-08,0.35714285714285715,1.2
2017-04-09,0.9090909090909091,1.6666666666666667
2017-03-30,1.0,1.0,831.5
2017-03-31,0.6571428571428571,2.75,829.559998
2017-04-15,0.4666666666666667,5.0
2017-04-14,1.25,12.0
2017-04-17,0.7346938775510204,2.4545454545454546,837.169983
2017-04-16,0.75,5.0
2017-04-11,0.5,2.6666666666666665,823.349976
2017-04-10,0.48717948717948717,1.3636363636363635,824.72998
2017-04-13,0.5714285714285714,2.4,823.559998
2017-04-12,0.475,3.3333333333333335,824.320007
2017-04-19,0.6976744186046512,2.1,838.210022
2017-04-18,0.8857142857142857,2.888888888888889,836.820007
