2017-04-21,65.669998,66.699997,65.449997,66.400002,32390600,66.400002,0.900002
2017-04-20,65.459999,65.75,65.139999,65.5,22285400,65.5,0.459999
2017-04-19,65.650002,65.75,64.889999,65.040001,22672100,65.040001,-0.349998
2017-04-18,65.330002,65.709999,65.160004,65.389999,15140600,65.389999,-0.090004
2017-04-17,65.040001,65.489998,65.010002,65.480003,16609700,65.480003,0.530006
2017-04-13,65.290001,65.860001,64.949997,64.949997,17755800,64.949997,-0.280006
2017-04-12,65.419998,65.510002,65.110001,65.230003,17082100,65.230003,-0.25
2017-04-11,65.599998,65.610001,64.849998,65.480003,18735700,65.480003,-0.049996
2017-04-10,65.610001,65.82,65.360001,65.529999,17363400,65.529999,-0.150001
2017-04-07,65.849998,65.959999,65.440002,65.68,13772400,65.68,-0.050003
2017-04-06,65.599998,66.059998,65.480003,65.730003,18070500,65.730003,0.170005
2017-04-05,66.300003,66.349998,65.440002,65.559998,21381100,65.559998,-0.170005
2017-04-04,65.389999,65.809998,65.279999,65.730003,12981200,65.730003,0.18
2017-04-03,65.809998,65.940002,65.190002,65.550003,20352800,65.550003,-0.309998
2017-03-31,65.650002,66.190002,65.449997,65.860001,21001100,65.860001,0.150002
2017-03-30,65.419998,65.980003,65.360001,65.709999,15100400,65.709999,0.239998
2017-03-29,65.120003,65.5,64.949997,65.470001,13512400,65.470001,0.18
2017-03-28,64.959999,65.470001,64.650002,65.290001,20039300,65.290001,0.190003
2017-03-27,64.629997,65.220001,64.349998,65.099998,18550200,65.099998,0.119995
2017-03-24,65.360001,65.449997,64.760002,64.980003,22373200,64.980003,0.11
2017-03-23,64.940002,65.239998,64.769997,64.870003,18819600,64.870003,-0.159996
2017-03-22,64.120003,65.139999,64.120003,65.029999,20632800,65.029999,0.82
2017-03-21,65.190002,65.5,64.129997,64.209999,26191800,64.209999,-0.720001
2017-03-20,64.910004,65.18,64.720001,64.93,12744200,64.93,0.059997
2017-03-17,64.910004,65.239998,64.68,64.870003,48994700,64.870003,0.230004
2017-03-16,64.75,64.760002,64.300003,64.639999,20532600,64.639999,-0.110001
2017-03-15,64.550003,64.919998,64.25,64.75,20501900,64.75,0.339996
