date,usratio,tbratio,close
2016-08-30,1.3255813953488371,3.28,767.580017
2016-08-31,1.4691358024691359,3.4285714285714284,769.159973
2017-04-19,1.2988505747126438,2.176470588235294,899.200012
2016-09-08,1.1157894736842104,1.4615384615384615,784.059998
2016-09-09,1.2988505747126438,4.8125,760.140015
2016-09-04,1.4096385542168675,3.9473684210526314
2016-09-05,1.247191011235955,4.8
2016-09-06,1.3529411764705883,3.888888888888889,788.869995
2016-09-07,1.8,2.3157894736842106,784.47998
2016-09-01,1.9411764705882353,3.0476190476190474,770.619995
2016-09-02,1.7397260273972603,2.5384615384615383,772.440002
2016-09-03,1.5316455696202531,3.5
2016-12-04,2.125,4.1875
2016-12-05,0.9607843137254902,3.185185185185185,759.359985
2016-12-06,1.6666666666666667,2.074074074074074,764.719971
2016-12-07,1.5,2.1470588235294117,770.419983
2017-04-11,1.4096385542168675,3.4,902.359985
2017-04-10,1.2222222222222223,2.225806451612903,907.039978
2016-12-02,1.0,3.0,740.340027
2016-12-03,1.247191011235955,3.24
2017-01-30,0.9801980198019802,2.392857142857143,830.380005
2017-01-31,1.2222222222222223,2.7666666666666666,823.47998
2016-12-08,1.1157894736842104,3.074074074074074,767.330017
2017-04-18,1.5,2.5384615384615383,903.780029
2017-03-09,0.4492753623188406,4.6,853
2017-03-08,1.1978021978021978,2.026315789473684,850.5
2016-05-31,1.564102564102564,1.0,722.789978
2016-05-30,1.1505376344086022,3.4761904761904763
2017-03-03,0.7241379310344828,1.5476190476190477,849.880005
2017-03-02,1.3103448275862069,2.4347826086956523,848.909973
2017-03-01,1.0,2.2903225806451615,853.080017
2017-03-07,1.2222222222222223,2.235294117647059,846.02002
2017-03-06,1.173913043478261,2.8461538461538463,846.609985
2017-03-05,1.3255813953488371,2.076923076923077
2017-03-04,1.631578947368421,2.642857142857143
2016-07-17,1.1505376344086022,5.428571428571429
2016-07-16,1.6666666666666667,3.1052631578947367
2016-11-23,1.4096385542168675,4.0,780.119995
2016-11-22,1.9411764705882353,4.55,785.330017
2016-11-21,1.8985507246376812,3.0,780
2016-11-20,1.631578947368421,9.384615384615385
2016-11-27,1.5,3.75
2016-11-26,2.5714285714285716,3.8947368421052633
2016-11-25,1.127659574468085,1.2941176470588236,780.369995
2016-07-18,1.173913043478261,3.8,736.070007
2016-11-29,1.0,3.1923076923076925,762.52002
2016-11-28,1.7777777777777777,2.8333333333333335,766.77002
2017-03-17,1.0,1.6666666666666667,852.309998
2016-05-10,1.7027027027027026,2.0294117647058822,703.070007
2016-10-31,1.8985507246376812,2.5925925925925926,789.820007
2016-10-30,1.3529411764705883,2.4
2017-04-06,1.5,3.473684210526316,898.280029
2017-04-07,1.09375,2.0,894.880005
2016-06-27,1.8169014084507042,1.9411764705882353,691.359985
2016-06-26,0.9607843137254902,1.8611111111111112
2016-06-25,2.5714285714285716,2.4
2016-06-24,1.631578947368421,2.3703703703703702,698.960022
2016-06-23,1.3529411764705883,2.6551724137931036,722.080017
2016-06-22,1.5316455696202531,3.6363636363636362,710.599976
2016-06-21,1.1978021978021978,2.8260869565217392,715.820007
2016-06-20,1.2988505747126438,3.45,714.01001
2016-06-29,1.3255813953488371,3.272727272727273,715.599976
2016-06-28,2.125,2.1666666666666665,707.950012
2017-03-30,2.0303030303030303,2.2857142857142856,876.340027
2017-03-31,1.4390243902439024,2.375,886.539978
2016-12-19,1.380952380952381,2.7142857142857144,766
2016-11-18,1.380952380952381,2.7857142857142856,760.159973
2016-11-19,1.8169014084507042,1.8
2016-11-12,2.225806451612903,2.8095238095238093
2016-11-13,2.278688524590164,2.037037037037037
2016-11-10,1.6666666666666667,1.2352941176470589,742.380005
2016-07-30,2.389830508474576,2.586206896551724
2016-11-16,1.4691358024691359,4.181818181818182,746.48999
2016-11-17,1.5974025974025974,2.730769230769231,756.400024
2016-11-14,1.5316455696202531,2.2142857142857144,719.070007
2016-11-15,1.4096385542168675,1.4736842105263157,743.23999
2017-04-20,1.5316455696202531,2.0,902.059998
2016-09-19,1.4096385542168675,2.25,775.099976
2016-09-18,1.518987341772152,4.8
2016-08-29,2.076923076923077,2.772727272727273,771.289978
2016-08-28,1.4096385542168675,2.409090909090909
2016-08-25,1.7777777777777777,2.5185185185185186,759.219971
2016-08-24,1.6666666666666667,2.6296296296296298,757.25
2016-08-27,1.0408163265306123,2.6153846153846154
2016-08-26,1.6666666666666667,2.5555555555555554,769
2016-08-21,1.631578947368421,2.6363636363636362
2016-08-20,1.7397260273972603,2.3666666666666667
2016-08-23,1.0833333333333333,2.310344827586207,762.450012
2016-08-22,1.1505376344086022,2.7586206896551726,759.47998
2017-02-01,1.525,2.8214285714285716,832.349976
2017-02-02,1.173913043478261,2.4642857142857144,839.950012
2017-02-03,1.1505376344086022,1.5277777777777777,810.200012
2017-02-04,0.8018018018018018,1.9411764705882353
2017-02-05,0.8867924528301887,2.5
2017-02-06,0.44525547445255476,0.3877551020408163,807.640015
2017-02-07,1.127659574468085,1.4523809523809523,812.5
2017-02-08,0.7391304347826086,2.212121212121212,819.710022
2017-02-09,1.8169014084507042,2.9130434782608696,821.359985
2016-04-30,3.0,2.212121212121212
2016-10-08,1.5,1.96
2016-10-09,2.0303030303030303,2.6818181818181817
2016-10-06,1.3529411764705883,2.4285714285714284,841.659973
2016-10-07,1.7777777777777777,1.8285714285714285,839.429993
2016-10-04,1.5316455696202531,2.103448275862069,834.030029
2016-10-05,1.3255813953488371,1.625,844.359985
2016-10-02,2.7735849056603774,2.1
2016-10-03,2.109375,3.1818181818181817,836.73999
