username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
,2017-04-23,32,37,"Wondering how @facebook @amazon @netflix & @Google will change #TV and #OTT ? Don't miss this #NABShow session https:// gabbcon.com/events/nab-las -vegas-2017/ … https:// twitter.com/neustar/status /856190939408334848 …",,@facebook @amazon @netflix @Google,#TV #OTT #NABShow,"856264839798247424",https://twitter.com/GABBCON/status/856264839798247424
,2017-04-23,0,0,"What the fuck android? @Google USED 46 YEARS AGO??????????!!! pic.twitter.com/tVUlVmnnH4",,@Google,,"856264564018737154",https://twitter.com/HusainMus1afa/status/856264564018737154
,2017-04-23,0,0,"Kanske är dags att överge @Apple produkter och gå tillbaka till @Google och @Android istället",,@Apple @Google @Android,,"856264442039996417",https://twitter.com/FK_rtj/status/856264442039996417
,2017-04-23,0,0,"But..but.. @Google assure us Macron rules the Globalist swell! https:// twitter.com/DebEDaniels/st atus/856262682265178117 …",,@Google,,"856264281708535808",https://twitter.com/RashaTaus/status/856264281708535808
,2017-04-23,2,1,"RT @deletom VIDÉO. Comprendre (simplement) le #deeplearning avec un directeur de @Google https:// pocket.co/xMAePj",,@deletom @Google,#deeplearning,"856264128729669633",https://twitter.com/laVeilleTechno/status/856264128729669633
,2017-04-23,0,0,"Nobody will help...answer is to just go buy another $600 phone. WTF. No wonder they are getting sued over this, it's being handled terribly.",,,,"856264017739960320",https://twitter.com/RickSchoonmaker/status/856264017739960320
,2017-04-23,0,0,"No words for how angry I am with @Google , @projectfi , and @HuaweiMobile for this #bootloop issue. Phone is 2 days past warranty...no fix",,@Google @projectfi @HuaweiMobile,#bootloop,"856263610716258305",https://twitter.com/RickSchoonmaker/status/856263610716258305
,2017-04-23,80,55,"http:// thepopulist.us/2017/04/google -paid-ad-promotes-terrorist-anwar-al-awlaki/#… Take the link above to the article .. @stranahan U r the man. @google @ericschmidt U support evil & destroy truth. pic.twitter.com/JCsrVVRuRo",,@stranahan @google @ericschmidt,#,"856263564620840960",https://twitter.com/butlerchris67/status/856263564620840960
,2017-04-23,0,0,"@Pepsigirl170 don't deny",,@Pepsigirl170,,"856263366297493504",https://twitter.com/ChefBoiiiardee/status/856263366297493504
,2017-04-23,1,5,"Exciting @CatMcLOUD presenting Fellowship work today #Digital #Inclusion @Innov_Partner #WomenInTech Thanks @ChorusNZ @Google @InternetNZ pic.twitter.com/OfbaapzlmH",,@CatMcLOUD @Innov_Partner @ChorusNZ @Google @InternetNZ,#Digital #Inclusion #WomenInTech,"856263270176407552",https://twitter.com/Innov_Partner/status/856263270176407552
,2017-04-23,0,0,"Won't work. @google https:// twitter.com/DavidWartell/s tatus/855198937191505921 …",,@google,,"856262489679548423",https://twitter.com/gbc9f/status/856262489679548423
,2017-04-23,0,0,"*starting to getting sad* @Google , you there? @Google ........ @bing ........",,@Google @Google @bing,,"856262307839606786",https://twitter.com/NerdyDulin/status/856262307839606786
,2017-04-23,0,1,"Hey @sundarpichai ! How come @Google 's CEO is such a Barça fan? #FORÇABARÇA https:// twitter.com/sundarpichai/s tatus/856258410098167810 …",,@sundarpichai @Google,#FOR,"856261167634894849",https://twitter.com/judith_aldabo/status/856261167634894849
